name,score
JEN,160
LP.,1120
AAD,4300
AMC,2680
AMC,3300
AMC,4560
WNB,80
HFD,720
AMC,1480
ALL,520
TOM,1080
HJL,1400
BRO,80
FOR,1760
FUY,1120
FOR,840
ALF,80
POO,800
KAT,4670
KSS,760
ABC,40
JMV,160
CAS,1040
RFG,840
JMV,1440
AND,40
ZOE,3700
JAS,2650
JAS,4170
EMI,1440
CCM,1760
EUU,1160
SAP,1400
GAR,1160
GAR,3230
CAL,720
TUY,1120
DPS,80
MKS,880
JMS,1120
DEC,160
MUM,1760
.IP,1720
TRS,560
DJW,1760
JEN,1400
JUD,440
ORL,1200
ASD,1160
WEM,1400
LUS,2640
JAC,160
PGG,200
GJD,3750
KIM,1160
HHG,3320
NIX,3050
BOB,1480
JET,1840
JET,3110
CGH,3760
GGG,680
EIL,5930
LOU,880
JEN,1360
DIJ,1520
DVD,1000
BEC,1480
TOM,4320
HUT,2560
SCO,1800
UHT,1520
ADA,1760
NLB,1720
JRN,6680
EMA,1400
ROB,1440
ROB,3650
YAZ,1120
YSP,4770
HAM,2820
STE,1720
EMR,2650
AAD,2070
AAD,4370
BOP,1760
TOM,160
JIM,1760
NGO,1760
IAN,1160
ASS,4270
KIM,1400
NAT,1400
NAT,1160
AIM,1760
WOF,1080
AMC,1520
AMC,3650
AAD,4230
AAD,1720
LCM,3190
AAD,4300
AAD,3300
JIM,3600
RUT,840
RUT,880
KYL,1760
KYL,1400
SER,1400
KYL,1480
JAD,840
DYL,3710
HAN,1480
DYL,4720
PET,2200
WIN,4110
ALD,4870
BOB,1840
LCJ,2800
SAM,1120
DON,4720
BEA,440
SYP,1400
KEV,0
SOS,1200
HIY,2690
DAN,440
JAF,1480
KTA,3220
TOM,1120
IVR,1200
WJM,4690
OM.,760
WJM,3230
SMG,1840
MER,640
LEW,480
EMI,240
HMC,0
JHH,1120
LOE,1080
YYY,4100
WTM,3150
ROB,2140
ROY,3690
JAM,720
MUM,1520
LUK,480
SAR,840
MEM,80
SAM,1200
SAM,1800
CUK,3150
SAM,4720
.B.,120
LGW,1200
POP,160
SLP,1480
JRN,6110
CJS,1080
IRS,2080
AAA,1720
AAA,3720
JMB,1200
JMB,3700
LJJ,880
LIL,520
EUA,840
OLI,800
JMY,800
JES,160
DAD,1680
EFF,1640
REB,440
DP.,4370
KAZ,1760
YKC,3270
CAL,2190
SCB,6000
POO,1840
MAR,1720
MJH,0
ERP,1400
ALA,440
CAL,1480
CEB,3820
FGG,1400
LIN,1480
RDW,160
DRW,1760
IAM,1400
ADA,1760
FI.,1160
FIB,1200
FIB,1760
FIB,1680
FIB,1200
FIB,1200
DF.,1440
JTP,1080
JO.,1080
DEE,800
DFG,120
COW,1440
NIC,1800
POO,2700
LOO,1480
DPW,3200
BOO,3700
RED,1520
TOM,1160
CAZ,1400
CAZ,1800
HAV,1640
THY,1800
LEE,1400
RGR,3720
VXR,760
LIZ,1400
LLL,5330
LOL,3230
KEV,3300
KAT,1800
KAE,4670
DMP,880
URS,1800
LYN,3750
GAR,1720
GAR,4620
NIK,1160
AJD,3700
JIL,2730
AJD,4300
C.F,1840
KDE,1480
AMY,840
RIC,760
PET,5390
STE,1760
BRI,1760
BJS,1840
BSS,3120
TOM,1800
SLP,1440
FI.,3620
FI.,1080
FUD,2300
ALD,4820
DAN,1800
EMS,1760
MTC,840
PAN,1200
AVF,3130
AVF,4260
STF,1840
VEJ,3250
MJE,1800
MJE,1080
VKI,2650
KS.,1800
CDZ,2800
JEN,4870
ALD,7800
YSY,1160
ABI,80
DES,1080
UJK,1440
BOB,120
BOB,80
RYA,880
DAI,1760
RHU,4700
LAU,4720
TED,200
TFG,1200
JFL,1160
KAG,1800
KAG,2730
KRI,880
HYJ,120
YIY,2230
KEL,1120
KAN,840
DAV,1720
BEX,1760
BEX,1160
NEV,2670
MOG,1320
JAC,1480
NEV,40
JAK,3020
LIV,40
AAZ,160
ZOO,480
QQQ,480
AMY,1080
KKB,160
HHH,80
.LG,1160
POO,3370
AND,1840
DDD,1760
ISA,1800
GGG,160
JEN,1040
AK.,1720
AK.,2230
JEN,2100
GIL,1160
JEN,1680
FIN,1720
JNY,1360
CHR,840
BET,2230
HHG,3220
BUM,520
MAA,520
ADG,880
TMS,800
TMS,880
DJI,3230
POO,1160
POO,1800
DAV,720
WAT,560
POP,480
ALX,1720
ALD,4770
AAD,4220
CJS,3250
LAU,3250
DRE,2680
LMU,1520
HRJ,1120
RAC,1200
MER,880
CAJ,1520
EMJ,1480
BLA,840
SYL,1160
JIM,880
A.M,3040
LUC,880
PAM,2720
RHP,1160
SUE,1760
ZOE,1160
ALA,1760
ZOE,2730
AAJ,1080
DFF,2720
CJN,520
TOT,200
GDA,1360
JO.,2220
RAB,2770
MUM,520
MAT,40
ABI,80
ABM,1800
LYN,1160
MUN,2140
ALX,120
NKO,1200
AME,480
RCH,3160
ALX,240
CAT,4760
SMK,1840
KLB,160
AFK,160
OEF,80
LHI,480
BEX,3150
GAZ,3700
GHU,1120
LDM,2680
EDD,1720
THE,1080
TAR,1680
DDM,3230
VXB,1680
CHR,1520
ARC,800
BUM,1120
MAC,1200
AID,800
ABA,720
ABA,4370
ABA,1840
ABA,1480
ABA,1760
AAA,1440
LAC,3300
ZOE,1720
BOB,1440
TOB,1440
RYU,1720
JRN,3620
BER,1840
MAR,1400
MAC,2560
TIM,2870
NEL,1720
NE.,2870
TIM,4820
AST,1160
YTU,2300
JGE,1760
JAM,1720
LUC,1840
ROB,3190
KDJ,3650
CO.,4620
JAM,3010
ELI,1760
JAS,120
HOO,1840
ALD,4160
GGA,840
ANN,1840
JRN,6990
ANA,4200
DSR,4060
TOR,3770
KEV,4700
SAM,1480
FOX,1200
FOX,1760
MAJ,1200
LOM,1480
LOM,1160
DWY,4140
LIZ,3820
AAG,3570
ELI,1440
ELI,1480
BUB,120
GAY,3680
LJB,3260
JEN,1200
LOU,1200
GHK,1120
RSM,1480
LIL,1760
LIL,1080
DSC,3000
LOL,480
FBF,80
FBI,840
DSC,3150
KDJ,2180
BER,1520
LOU,4770
ME.,1400
TOM,1800
GEA,3650
JJJ,2800
DAV,1760
VIC,1480
LOL,2730
LOZ,2690
LCJ,2650
SEB,3250
CAR,1440
RMF,1040
SBK,4140
ELQ,160
MIK,1440
KIB,3820
RAC,560
RAC,1800
PAP,160
BOB,800
SAM,1640
BBB,1840
LIL,120
DIJ,240
J.P,1200
A.D,1800
GEM,1800
JIW,1800
CRA,1760
HAM,1160
HAM,1200
BEA,560
MMM,480
CHA,2160
JOE,1520
SD.,3300
AYA,1720
BRI,4820
RAW,40
JY.,3700
ZOE,1720
SHB,1760
COL,2800
JRN,4720
JRN,3150
WWW,3870
NAT,1440
NAT,840
TAN,1200
AJW,3650
DAD,1120
MAH,1480
KIW,760
LMU,1400
DIE,3690
GEM,1720
HLU,360
EJD,240
CTQ,3250
QWE,1840
AMY,1800
EWA,1840
LIN,1840
NIC,1720
JOJ,1440
JOJ,4140
MIK,3770
SAM,2610
AMY,120
ION,1120
BRO,1840
BEA,480
MMM,1440
JOB,4610
IWU,480
HLU,720
HLU,1120
HLU,800
USE,720
JEB,840
BEN,1080
LIZ,1480
DAD,1520
LL.,2150
IAN,2190
ERI,3230
ERI,3620
FAY,1440
JMA,160
LIL,520
GEM,4820
GEO,800
RAY,1200
LIS,1200
HHH,1760
JAY,1160
JAY,1720
WAL,1160
WAL,2550
IXX,120
